,Fuel Consumption (ml/s),,Speed (m/s),
time,Gainesville,Cologne6to8,Gainesville,Cologne6to8
40,1.712423208,1.10021148,11.9712628,9.542990937
41,1.584733333,1.102160584,11.9666,9.393562044
42,1.500811688,1.176982759,11.8775,9.457413793
43,1.425492063,1.208718663,11.78622222,9.407688022
44,1.583478261,1.191863946,11.83776398,9.409115646
45,1.623130699,1.234827586,12.00234043,9.455026525
46,1.613323442,1.230207792,12.09103858,9.489571429
47,1.690610465,1.186918239,12.17357558,9.369861635
48,1.705596591,1.204250614,12.3628125,9.505700246
49,1.658133705,1.152289157,12.50022284,9.599433735
50,1.525776567,1.210327869,12.35321526,9.624730679
51,1.436684492,1.274419134,12.09625668,9.719487472
52,1.554371728,1.332609674,12.02007853,9.956141732
53,1.520051414,1.306541436,11.94915167,10.09427624
54,1.510302267,1.222960954,12.0409068,10.12503254
55,1.458861386,1.160499469,12.00049505,10.07659936
56,1.451116505,1.118390805,11.9717233,10.08339603
57,1.419904306,1.115025694,11.94059809,10.07150051
58,1.402564706,1.122326284,11.96317647,9.982970796
59,1.568078704,1.075793651,12.09020833,9.930376984
60,1.538613636,1.071909354,12.12247727,9.76168756
61,1.636053812,1.043405866,12.28598655,9.715808893
62,1.655859031,1.068642322,12.34713656,9.747350187
63,1.682754881,1.073351852,12.43236443,9.71062963
64,1.557889126,1.084068716,12.48965885,9.704122966
65,1.658319328,1.172019573,12.56943277,9.84155694
66,1.566832298,1.183403141,12.71409938,9.898184991
67,1.445439673,1.199240069,12.64944785,10.03403282
68,1.528141414,1.181292517,12.64030303,10.09140306
69,1.479244533,1.136484441,12.58992048,10.16264929
70,1.474344423,1.144196208,12.57894325,10.12103875
71,1.49953668,1.131855754,12.58648649,10.06225284
72,1.464114286,1.088146067,12.53664762,10.1468138
73,1.48673546,1.122579114,12.54673546,10.20996044
74,1.639074074,1.203190328,12.69751852,10.32280031
75,1.504069343,1.132,12.71206204,10.38566923
76,1.504512635,1.193467988,12.74700361,10.49104421
77,1.546234458,1.156739458,12.75937833,10.50612952
78,1.545192982,1.080934025,12.90338596,10.40184581
79,1.528564014,1.091065393,12.92603806,10.39530492
80,1.490068376,1.083518385,12.90617094,10.35108147
81,1.495278246,1.020660511,12.82347386,10.27153409
82,1.475933333,1.120504555,12.82471667,10.31913104
83,1.476628289,1.146381215,12.79702303,10.32535221
84,1.466176471,1.110020604,12.78555556,10.39712912
85,1.483693548,1.161815092,12.78491935,10.42919103
86,1.437515924,1.12077389,12.73267516,10.4184926
87,1.388113208,1.085169661,12.67440252,10.35677312
88,1.369253499,1.010849243,12.55485226,10.28418697
89,1.461228879,1.081585127,12.47403994,10.31201566
90,1.407975647,1.059677627,12.3716895,10.28156028
91,1.423900602,1.083936508,12.32052711,10.21463492
92,1.466056548,1.067108737,12.34489583,10.17869265
93,1.501296024,1.048421053,12.41078056,10.09746749
94,1.478017493,1.016607579,12.47255102,10.00871638
95,1.467291066,1.017752266,12.48681556,9.920495468
96,1.5978,1.136134051,12.67891429,10.06707959
97,1.462937853,1.151050767,12.7390678,10.15951004
98,1.473524476,1.202571763,12.7511049,10.31275337
99,1.449778393,1.218017442,12.8065928,10.49359302
100,1.412520548,1.22340634,12.75357534,10.65454755
101,1.409836957,1.24972634,12.72657609,10.78693273
102,1.440269179,1.195961538,12.72189771,10.87680995
103,1.475313752,1.113266444,12.70233645,10.82069677
104,1.484914135,1.116261734,12.76488771,10.83889564
105,1.352617801,1.095342841,12.77811518,10.84803072
106,1.540129534,1.089517615,12.85822539,10.768
107,1.532172237,1.100326029,12.91897172,10.70530198
108,1.494592875,1.084453871,12.94885496,10.6871315
109,1.46407314,1.04956978,12.96981084,10.58764428
110,1.4444875,1.026692668,12.9706375,10.49822153
111,1.518562577,1.016455435,13.00344486,10.394678
112,1.52498155,1.121911088,13.0503321,10.48411855
113,1.474559902,1.059436548,13.07666259,10.53921827
114,1.548922518,1.13498996,13.04790557,10.58949799
115,1.510708283,1.085069583,13.03360144,10.59611332
116,1.492928571,1.124412636,13.03567857,10.6780997
117,1.480188679,1.142470588,12.99762972,10.74022059
118,1.433496503,1.099514563,12.93262238,10.73230583
119,1.376987254,1.029490139,12.97425261,10.64513228
120,1.404879449,1.12509299,12.99726751,10.67176919
121,1.421265678,1.054741584,12.98920182,10.69492651
